Symbol;ISIN;Description;Region;Classification;Curr;Type;Start
T9570L;CH0019125233;DJS TMI Tech Eq [9570] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T9570P;CH0019125183;DJS TMI Tech Eq [9570] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T9570R;CH0019125266;DJS TMI Tech Eq [9570] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T9570V;CH0019125282;DJS TMI Tech Eq [9570] USD (Return);Europe;Sector;USD;Return;20-Sep-04
SXLTOB;CH0004174683;DJS TMI Tobacco [3780] USD (Price);Europe;Sector;USD;Price;01-Apr-99
SXPTOB;CH0004174493;DJS TMI Tobacco [3780] EUR (Price);Europe;Sector;EUR;Price;01-Apr-99
SXRTOB;CH0004174725;DJS TMI Tobacco [3780] EUR (Return);Europe;Sector;EUR;Return;01-Apr-99
SXVTOB;CH0004174758;DJS TMI Tobacco [3780] USD (Return);Europe;Sector;USD;Return;01-Apr-99
T5700L;CH0019114047;DJS TMI Trv&Lsr [5750] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T5700P;CH0019114039;DJS TMI Trv&Lsr [5750] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T5700R;CH0019114062;DJS TMI Trv&Lsr [5750] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T5700V;CH0019114088;DJS TMI Trv&Lsr [5750] USD (Return);Europe;Sector;USD;Return;20-Sep-04
SD3E;CH0020751589;DJES Select Div 30 EUR (Price);Eurozone;Select Dividend;EUR;Price;13-Apr-05
SD3K;CH0020751639;DJES Select Div 30 USD (Price);Eurozone;Select Dividend;USD;Price;13-Apr-05
SD3T;CH0020751605;DJES Select Div 30 EUR (Return);Eurozone;Select Dividend;EUR;Return;13-Apr-05
SD3U;CH0020751647;DJES Select Div 30 USD (Return);Eurozone;Select Dividend;USD;Return;13-Apr-05
SD4AL;US2609411176;DJSAmerDiv40 USD (Price);Americas;Select Dividend;USD;Price;14-May-07
SD4AP;US2609391113;DJSAmerDiv40 EUR (Price);Americas;Select Dividend;EUR;Price;14-May-07
SD4AR;US2609401193;DJSAmerDiv40 EUR (Return);Americas;Select Dividend;EUR;Return;14-May-07
SD4AV;US2609421159;DJSAmerDiv40 USD (Return);Americas;Select Dividend;USD;Return;14-May-07
SD3PL;US2609451180;DJSA/PDiv30 USD (Price);Asia/Pacific;Select Dividend;USD;Price;14-May-07
SD3PP;US2609431133;DJSA/PDiv30 EUR (Price);Asia/Pacific;Select Dividend;EUR;Price;14-May-07
SD3PR;US2609441116;DJSA/PDiv30 EUR (Return);Asia/Pacific;Select Dividend;EUR;Return;14-May-07
SD3PV;US2609461163;DJSA/PDiv30 USD (Return);Asia/Pacific;Select Dividend;USD;Return;14-May-07
SD1L;CH0029049795;DJS EUEnLarge Select Div 15 USD (Price);EU Enlarged;Select Dividend;USD;Price;05-Feb-07
SD1P;CH0029049167;DJS EUEnLarge Select Div 15 EUR (Price);EU Enlarged;Select Dividend;EUR;Price;05-Feb-07
SD1R;CH0029049647;DJS EUEnLarge Select Div 15 EUR (Return);EU Enlarged;Select Dividend;EUR;Return;05-Feb-07
SD1V;CH0029049829;DJS EUEnLarge Select Div 15 USD (Return);EU Enlarged;Select Dividend;USD;Return;05-Feb-07
SDGL;US26064V1171;DJSGlblDiv100 USD (Price);Global;Select Dividend;USD;Price;21-Feb-07
SDGP;US26063V1180;DJSGlblDiv100 EUR (Price);Global;Select Dividend;EUR;Price;21-Feb-07
SDGR;US26063Y1120;DJSGlblDiv100 EUR (Return);Global;Select Dividend;EUR;Return;21-Feb-07
SDGV;US26066F1104;DJSGlblDiv100 USD (Return);Global;Select Dividend;USD;Return;21-Feb-07
SD2F;CH0027627212;DJSN Select Div 20 EUR (Price);Nordic;Select Dividend;EUR;Price;30-Oct-06
SD2G;CH0027627287;DJSN Select Div 20 EUR (Return);Nordic;Select Dividend;EUR;Return;30-Oct-06
SD2H;CH0027627303;DJSN Select Div 20 USD (Price);Nordic;Select Dividend;USD;Price;30-Oct-06
SD2I;CH0027627345;DJSN Select Div 20 USD (Return);Nordic;Select Dividend;USD;Return;30-Oct-06
SD2X;CH0027627394;DJSN Select Div 20 SEK (Price);Nordic;Select Dividend;SEK;Price;30-Oct-06
SD2Y;CH0027627428;DJSN Select Div 20 SEK (Return);Nordic;Select Dividend;SEK;Return;30-Oct-06
SD2NX;CH0037689426;DJSN Select Div 20 NOK (Price);Nordic;Select Dividend;NOK;Price;21-Apr-08
SD2NY;CH0037689442;DJSN Select Div 20 NOK (Return);Nordic;Select Dividend;NOK;Return;21-Apr-08
SD2DX;CH0037689459;DJSN Select Div 20 DKK (Price);Nordic;Select Dividend;DKK;Price;21-Apr-08
SD2DY;CH0037689467;DJSN Select Div 20 DKK (Return);Nordic;Select Dividend;DKK;Return;21-Apr-08
SD3L;CH0020751423;DJS Select Div 30 USD (Price);Europe;Select Dividend;USD;Price;13-Apr-05
SD3P;CH0020751340;DJS Select Div 30 EUR (Price);Europe;Select Dividend;EUR;Price;13-Apr-05
SD3R;CH0020751373;DJS Select Div 30 EUR (Return);Europe;Select Dividend;EUR;Return;13-Apr-05
SD3V;CH0020751480;DJS Select Div 30 USD (Return);Europe;Select Dividend;USD;Return;13-Apr-05
LCXE;CH0009040632;DJES Large EUR (Price);Eurozone;Size;EUR;Price;11-Oct-99
LCXK;CH0009041762;DJES Large USD (Price);Eurozone;Size;USD;Price;11-Oct-99
LCXT;CH0009041788;DJES Large EUR (Return);Eurozone;Size;EUR;Return;11-Oct-99
LCXU;CH0009041796;DJES Large USD (Return);Eurozone;Size;USD;Return;11-Oct-99
MCXE;CH0009042240;DJES Mid EUR (Price);Eurozone;Size;EUR;Price;11-Oct-99
